Source,Time,Line
May 16–21,May 16 09:56:11,"May 16 09:56:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:56:41,"May 16 09:56:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:57:11,"May 16 09:57:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:57:41,"May 16 09:57:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:58:11,"May 16 09:58:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:58:41,"May 16 09:58:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:58:52,May 16 09:58:52 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 09:59:11,"May 16 09:59:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 09:59:41,"May 16 09:59:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:00:11,"May 16 10:00:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:00:41,"May 16 10:00:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:01:11,"May 16 10:01:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:01:41,"May 16 10:01:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:02:11,"May 16 10:02:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:02:34,May 16 10:02:34 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:02:41,"May 16 10:02:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:03:11,"May 16 10:03:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:03:41,"May 16 10:03:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:04:11,"May 16 10:04:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:04:41,"May 16 10:04:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:05:11,"May 16 10:05:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:05:41,"May 16 10:05:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:06:11,"May 16 10:06:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:06:41,"May 16 10:06:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:07:11,"May 16 10:07:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:07:41,"May 16 10:07:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:08:11,"May 16 10:08:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:08:41,"May 16 10:08:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:09:11,"May 16 10:09:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:09:41,"May 16 10:09:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:10:11,"May 16 10:10:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:10:41,"May 16 10:10:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:11:11,"May 16 10:11:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:11:41,"May 16 10:11:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:12:11,"May 16 10:12:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:12:41,"May 16 10:12:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:13:11,"May 16 10:13:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:13:41,"May 16 10:13:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:14:10,May 16 10:14:10 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:14:11,"May 16 10:14:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:14:41,"May 16 10:14:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:15:11,"May 16 10:15:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:15:24,May 16 10:15:24 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:15:41,"May 16 10:15:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
